epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,4937.1,2.95684,2.22305,2.31458,0.23097,0.28501,0.14239,0.05839,5.00771,8.20533,4.62674,0.00142605,0.00142605,0.00142605
148,4970.47,3.00327,2.47987,2.30055,0.56049,0.54645,0.55864,0.27159,3.30986,3.36179,2.73047,0.0014244,0.0014244,0.0014244
149,5003.81,3.00391,2.85431,2.35364,0.84135,0.40764,0.58926,0.27998,3.11854,3.32432,2.68318,0.00142275,0.00142275,0.00142275
150,5037.27,3.28018,2.71892,2.43473,0.83485,0.39754,0.58012,0.27368,3.26878,2.94523,2.69535,0.0014211,0.0014211,0.0014211
151,5070.51,3.06686,2.53738,2.35578,0.42805,0.56439,0.50408,0.25406,3.18558,2.90324,2.7049,0.00141945,0.00141945,0.00141945
152,5103.88,2.96602,2.49706,2.36753,0.64361,0.48087,0.51317,0.28027,3.05805,2.63529,2.68291,0.0014178,0.0014178,0.0014178
153,5137.12,3.39764,2.61509,2.51023,0.57573,0.64617,0.54857,0.29791,3.05175,2.62667,2.68943,0.00141615,0.00141615,0.00141615
154,5170.62,3.17479,2.63799,2.31154,0.56903,0.62158,0.59665,0.31177,3.15208,2.82198,2.72575,0.0014145,0.0014145,0.0014145
155,5204.03,3.17755,2.70973,2.43247,0.63963,0.5888,0.58159,0.32463,3.43219,3.01113,2.89646,0.00141285,0.00141285,0.00141285
156,5237.46,2.97326,2.54189,2.34506,0.45402,0.3306,0.39918,0.20673,4.10456,3.72652,3.56803,0.0014112,0.0014112,0.0014112
157,5270.84,3.02526,2.49647,2.35164,0.45813,0.26633,0.35255,0.17264,4.11218,4.51851,3.91267,0.00140955,0.00140955,0.00140955
158,5304.32,3.05741,2.76814,2.38952,0.44023,0.23252,0.2785,0.12195,4.34348,5.02611,4.11085,0.0014079,0.0014079,0.0014079
159,5337.79,3.02636,2.69436,2.32032,0.44787,0.23224,0.21577,0.09046,4.71566,5.86437,4.6605,0.00140625,0.00140625,0.00140625
160,5371.55,3.21971,2.54647,2.31865,0.53435,0.10792,0.12575,0.0525,5.30138,8.06855,5.43313,0.0014046,0.0014046,0.0014046
161,5405.35,3.20063,2.64184,2.31619,0.46372,0.32697,0.23361,0.11422,4.30059,4.78901,4.0482,0.00140295,0.00140295,0.00140295
162,5438.69,2.87063,2.56737,2.20435,0.72658,0.30601,0.43624,0.23241,3.20939,3.22046,2.95044,0.0014013,0.0014013,0.0014013
163,5472.39,3.11486,2.67413,2.3551,0.74145,0.42807,0.54195,0.29042,2.95686,2.81936,2.69077,0.00139965,0.00139965,0.00139965
164,5505.88,3.14976,2.51761,2.32358,0.74637,0.42213,0.58065,0.33222,2.96094,2.68189,2.64089,0.001398,0.001398,0.001398
165,5538.98,3.44481,2.65002,2.33905,0.75052,0.43852,0.59036,0.32017,3.198,2.70428,2.76145,0.00139635,0.00139635,0.00139635
166,5572.2,3.44921,2.71454,2.45522,0.61177,0.51368,0.60337,0.28331,3.24618,2.74854,2.77779,0.0013947,0.0013947,0.0013947
167,5605.65,2.89805,2.46121,2.32888,0.79488,0.54354,0.6338,0.27203,3.14597,2.66182,2.72273,0.00139305,0.00139305,0.00139305
168,5639.48,3.02946,2.58695,2.32577,0.58913,0.55464,0.53819,0.27522,2.96835,2.81834,2.59332,0.00139139,0.00139139,0.00139139
169,5673.12,3.08343,2.52399,2.38317,0.78238,0.49285,0.58871,0.29519,3.03849,2.96116,2.64319,0.00138974,0.00138974,0.00138974
170,5706.81,3.24939,2.50581,2.24042,0.67941,0.53825,0.56732,0.27013,2.98098,2.98125,2.65833,0.00138809,0.00138809,0.00138809
171,5740.77,3.22766,2.90214,2.36214,0.54947,0.59528,0.61707,0.29563,3.0415,2.92282,2.78528,0.00138644,0.00138644,0.00138644
172,5774.12,3.0317,2.42648,2.35019,0.44665,0.57943,0.57592,0.27789,3.01037,2.74136,2.68626,0.00138479,0.00138479,0.00138479
173,5807.6,3.23049,2.80918,2.52964,0.61309,0.63798,0.59157,0.29398,3.08366,2.95556,2.69807,0.00138314,0.00138314,0.00138314
174,5840.78,2.80602,2.55532,2.30703,0.55063,0.50546,0.58948,0.25949,3.234,3.52936,2.7769,0.00138149,0.00138149,0.00138149
175,5874.38,3.21413,2.51253,2.35436,0.78091,0.42034,0.58468,0.26152,3.31997,3.12284,2.88409,0.00137984,0.00137984,0.00137984
176,5908.36,3.02875,2.5359,2.31277,0.81098,0.4515,0.62289,0.32569,3.16386,2.64797,2.62892,0.00137819,0.00137819,0.00137819
177,5941.94,3.11959,2.51508,2.3578,0.55014,0.58821,0.6206,0.34435,3.17812,2.73106,2.61753,0.00137654,0.00137654,0.00137654
178,5975.62,3.31167,2.35226,2.30878,0.86957,0.48907,0.63315,0.3299,2.93918,2.80748,2.53018,0.00137489,0.00137489,0.00137489
179,6009.04,3.16997,2.58549,2.44365,0.72893,0.46909,0.58987,0.31112,2.82959,3.01041,2.51669,0.00137324,0.00137324,0.00137324
180,6042.7,2.95518,2.53495,2.44359,0.69333,0.47268,0.60553,0.3249,2.91083,3.03786,2.56106,0.00137159,0.00137159,0.00137159
181,6076.06,2.96828,2.59097,2.31537,0.66569,0.39617,0.5444,0.31225,2.85009,2.84259,2.64413,0.00136994,0.00136994,0.00136994
