epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,5570.5,3.03937,2.59433,2.3728,0.56214,0.39754,0.44677,0.20322,3.25847,3.41401,2.76918,0.0013947,0.0013947,0.0013947
167,5604.36,3.30982,2.62117,2.28652,0.65112,0.39754,0.41627,0.18873,3.41979,3.47392,2.80039,0.00139305,0.00139305,0.00139305
168,5637.67,3.10449,2.72855,2.30053,0.38019,0.31421,0.27204,0.1165,3.85644,4.10607,3.45184,0.00139139,0.00139139,0.00139139
169,5670.88,3.2632,2.82816,2.40338,0.48395,0.29677,0.30129,0.11992,4.02845,4.63994,3.68102,0.00138974,0.00138974,0.00138974
170,5704.09,3.09186,2.40829,2.29408,0.57881,0.35379,0.30465,0.13115,4.45678,5.52258,4.12691,0.00138809,0.00138809,0.00138809
171,5737.22,3.13134,2.54053,2.33027,0.46496,0.25683,0.26474,0.10718,4.46078,7.15997,4.23945,0.00138644,0.00138644,0.00138644
172,5770.36,2.76298,2.44114,2.33916,0.4055,0.41393,0.29214,0.14934,3.24192,3.94992,2.8816,0.00138479,0.00138479,0.00138479
173,5803.66,3.11312,2.62438,2.36556,0.33129,0.34699,0.27835,0.12973,3.19946,4.16263,2.82773,0.00138314,0.00138314,0.00138314
174,5836.79,3.1573,2.41211,2.32797,0.42734,0.37158,0.30135,0.14408,3.20846,3.8893,2.71669,0.00138149,0.00138149,0.00138149
175,5869.76,3.11285,2.37085,2.28452,0.61548,0.35387,0.3964,0.18237,3.12157,3.66143,2.65362,0.00137984,0.00137984,0.00137984
176,5903.06,3.18286,2.53917,2.34398,0.32689,0.18169,0.19075,0.10091,3.11109,4.22501,2.8167,0.00137819,0.00137819,0.00137819
177,5936.21,3.01752,2.61415,2.39892,0.48946,0.1724,0.18694,0.09759,3.0241,4.44936,2.81509,0.00137654,0.00137654,0.00137654
178,5969.41,3.18918,2.62647,2.30861,0.3312,0.26366,0.2738,0.14428,2.79017,3.434,2.65316,0.00137489,0.00137489,0.00137489
179,6002.51,3.09378,2.49569,2.33072,0.2955,0.42896,0.32532,0.17546,2.70782,2.95464,2.56354,0.00137324,0.00137324,0.00137324
180,6035.57,2.92936,2.34064,2.2976,0.41431,0.41257,0.3033,0.16247,2.8051,3.17295,2.53267,0.00137159,0.00137159,0.00137159
181,6068.82,3.18026,2.47982,2.34053,0.21611,0.18033,0.17892,0.0928,4.01535,5.8579,3.46976,0.00136994,0.00136994,0.00136994
